REGION,LEVEL,STATE,TYPE,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020
CENTER,JR HIGH,PUEBLA,PRIVATE,25512,26485,28654,30576,30908,29988,30025,29940
CENTER,HIGH SCHOOL,PUEBLA,PUBLIC,199925,202904,211513,223636,230009,245025,247212,249826
CENTER,HIGH SCHOOL,PUEBLA,PRIVATE,53970,58949,54978,56971,55576,57342,59633,57163
CENTER,UNIVERSITY,PUEBLA,PUBLIC,98420,102728,109305,116798,125712,133424,148940,154721
CENTER,UNIVERSITY,PUEBLA,PRIVATE,73688,73418,76506,79944,83113,86014,100621,105043
CENTER,ELEMENTARY,QUERÉTARO,PUBLIC,217064,211120,210606,210651,211525,211470,214917,215289
CENTER,ELEMENTARY,QUERÉTARO,PRIVATE,36830,37859,38002,39036,40273,41361,43485,44037
CENTER,JR HIGH,QUERÉTARO,PUBLIC,92813,100613,103926,105003,100192,99848,98499,100451
CENTER,JR HIGH,QUERÉTARO,PRIVATE,14508,15948,16854,17313,17444,17505,18296,18712
CENTER,HIGH SCHOOL,QUERÉTARO,PUBLIC,53938,55900,59746,62930,67121,68220,66691,65541
CENTER,HIGH SCHOOL,QUERÉTARO,PRIVATE,16138,17978,19318,20698,22650,23537,24748,24213
CENTER,UNIVERSITY,QUERÉTARO,PUBLIC,35770,37048,38770,41237,42257,43662,49593,50944
CENTER,UNIVERSITY,QUERÉTARO,PRIVATE,14843,16141,18264,21091,22396,24246,29035,32901
SOUTH,ELEMENTARY,QUINTANA ROO,PUBLIC,154657,153166,152750,155738,159735,162548,166391,169808
SOUTH,ELEMENTARY,QUINTANA ROO,PRIVATE,18559,19799,20563,21127,22773,23973,24877,24920
SOUTH,JR HIGH,QUINTANA ROO,PUBLIC,61968,66278,72641,75945,75063,74291,74873,76249
SOUTH,JR HIGH,QUINTANA ROO,PRIVATE,7179,7706,8567,9268,9674,9650,10388,10820
SOUTH,HIGH SCHOOL,QUINTANA ROO,PUBLIC,44431,49284,49930,49654,52198,56394,57528,57703
SOUTH,HIGH SCHOOL,QUINTANA ROO,PRIVATE,8058,8130,8011,7969,8177,8732,10015,10517
SOUTH,UNIVERSITY,QUINTANA ROO,PUBLIC,19228,20707,21584,23624,24659,24851,26106,27049
SOUTH,UNIVERSITY,QUINTANA ROO,PRIVATE,6180,7704,9190,9388,9044,8836,10963,11602
NORTH CENTER,ELEMENTARY,SAN LUIS POTOSÍ,PUBLIC,330924,324372,308984,300443,293762,288100,284331,279961
